Code,Course,Sec,Description,Mode of,Book,HR,CR,Days,Time,Room,Professor
,,,,,,,,TU,17:35-18:50,HN ASSEM,"Kalan, Sampada"
,,,,,,,,TU,09:00-12:00,HN  815,"Lahiji, Armin"
,,,,,,,,TH,17:35-18:50,HN ASSEM,
343,BIOL 102.00,3,Principles Of Biol 2,In-Person,,7,4.5,TU,17:35-18:50,HN ASSEM,"Peng, Cheng"
,,,,,,,,W,09:00-12:00,HN  812,"Petrillo, Adrienne"
,,,,,,,,W,08:00-08:50,HN  C114,"Kuremsky, Alison"
,,,,,,,,TH,17:35-18:50,HN ASSEM,
344,BIOL 102.00,4,Principles Of Biol 2,In-Person,,7,4.5,TU,17:35-18:50,HN ASSEM,"Salloum, Darin"
,,,,,,,,W,09:00-12:00,HN  815,"Petrillo, Adrienne"
,,,,,,,,W,08:00-08:50,HN  C114,"Kuremsky, Alison"
,,,,,,,,TH,17:35-18:50,HN ASSEM,
345,BIOL 102.00,5,Principles Of Biol 2,In-Person,,7,4.5,TU,17:35-18:50,HN ASSEM,"Petrillo, Adrienne"
,,,,,,,,TH,17:35-18:50,HN ASSEM,"Morelli, Danielle"
,,,,,,,,TH,08:00-08:50,HN  C114,"Mclaughlin, John"
,,,,,,,,TH,09:00-12:00,HN  812,
346,BIOL 102.00,6,Principles Of Biol 2,In-Person,,7,4.5,TU,17:35-18:50,HN ASSEM,"Petrillo, Adrienne"
,,,,,,,,TH,17:35-18:50,HN ASSEM,"Morelli, Danielle"
,,,,,,,,TH,08:00-08:50,HN  C114,"Chatterjee, Amrita"
,,,,,,,,TH,09:00-12:00,HN  815,
347,BIOL 102.00,7,Principles Of Biol 2,In-Person,,7,4.5,TU,09:10-10:00,HN  C114,"Jaeger, Richard"
,,,,,,,,TU,17:35-18:50,HN ASSEM,"Petrillo, Adrienne"
,,,,,,,,TU,14:00-17:00,HN  812,"Kuremsky, Alison"
,,,,,,,,TH,17:35-18:50,HN ASSEM,
348,BIOL 102.00,8,Principles Of Biol 2,In-Person,,7,4.5,TU,09:10-10:00,HN  C114,"Petrillo, Adrienne"
,,,,,,,,TU,17:35-18:50,HN ASSEM,"Kalan, Sampada"
,,,,,,,,TU,14:00-17:00,HN  815,"Kuremsky, Alison"
,,,,,,,,TH,17:35-18:50,HN ASSEM,
349,BIOL 102.00,9,Principles Of Biol 2,In-Person,,7,4.5,TU,17:35-18:50,HN ASSEM,"Parvanova, Irena"
,,,,,,,,W,15:00-18:00,HN  812,"Petrillo, Adrienne"
,,,,,,,,W,09:10-10:00,HN  C114,"Kuremsky, Alison"
,,,,,,,,TH,17:35-18:50,HN ASSEM,
350,BIOL 102.00,10,Principles Of Biol 2,In-Person,,7,4.5,TU,17:35-18:50,HN ASSEM,"Salloum, Darin"
,,,,,,,,W,15:00-18:00,HN  815,"Petrillo, Adrienne"
,,,,,,,,W,09:10-10:00,HN  C114,"Kuremsky, Alison"
,,,,,,,,TH,17:35-18:50,HN ASSEM,
351,BIOL 102.00,11,Principles Of Biol 2,In-Person,,7,4.5,TU,17:35-18:50,HN ASSEM,"Sookdeo, Ayisha"
